CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3790	6643	1	0.8872	75.519
3426	4944	1	0.8956	-0.996
1283	5584	1	0.9293	0.000
6460	7667	1	0.9069	144.529
2762	3462	1	0.9002	76.003
2742	3833	1	0.8708	-79.016
6648	11722	1	0.8668	67.525
4824	6643	1	0.8427	75.519
4377	7667	1	0.8758	-76.008
2085	4387	1	0.8518	-285.576
5119	5779	1	0.8444	288.062
5683	10984	1	0.932	65.523
776	3993	1	0.8628	-7.975
1927	4795	1	0.9463	64.996
4199	6571	1	0.8592	286.050
3201	7357	1	0.8432	2.989
1643	5683	1	0.9144	60.483
1075	4795	1	0.9019	146.536
899	909	1	0.8651	-145.042
1283	2744	1	0.8457	371.609
4206	4801	1	0.8735	15.994
2966	11316	1	0.9334	-65.015
704	11490	1	0.8825	2.021
6534	11490	1	0.849	-75.495
1673	6534	1	0.8636	-68.526
288	10778	1	0.9137	-65.020
4546	11490	1	0.872	-220.024
1927	11316	1	0.8858	144.021
1213	11083	1	0.875	-1.011
373	2639	1	0.862	223.037
261	2002	1	0.8471	-143.523
2412	3853	1	0.8499	160.537
5683	8152	1	0.8606	-224.043
1047	2996	1	0.8957	15.999
255	2643	1	0.8623	-236.047
1507	3776	1	0.9499	0.000
3853	8152	1	0.9454	0.512
3147	3426	1	0.8405	387.598
3753	8152	1	0.8477	64.023
2643	2996	1	0.9467	92.514
4795	4933	1	0.8692	-81.013
1537	1600	1	0.8714	-1.006
3426	3853	1	0.8452	-227.061
6236	10917	1	0.8781	136.539
4324	4824	1	0.8646	457.049
1643	3541	1	0.8774	191.026
1927	4933	1	0.867	-16.018
5119	6534	1	0.8777	67.525
288	10984	1	0.9135	0.000
1643	6855	1	0.8781	-165.083
1213	1354	1	0.8867	144.031
2472	6643	1	0.8725	220.039
6571	10917	1	0.8736	146.043
1338	2996	1	0.92	81.521
2643	2837	1	0.8437	-133.047
1643	10984	1	0.9364	126.006
5019	5119	1	0.9198	0.000
4608	5779	1	0.8559	-68.023
255	1248	1	0.9492	-64.517
5620	11316	1	0.851	-299.016
2966	6970	1	0.9052	-209.553
1021	4199	1	0.8708	1.011
1075	2744	1	0.9537	65.523
909	1021	1	0.853	-288.062
1891	2451	1	0.8582	0.508
4293	4324	1	0.8534	-303.026
2996	3753	1	0.898	-144.534
1354	10917	1	0.9127	0.000
4031	7605	1	0.8424	151.010
5891	7843	1	0.8527	63.017
251	5000	1	0.9197	1.011
1056	1626	1	0.8554	160.030
4546	7667	1	0.8569	0.000
288	1047	1	0.8448	-225.054
776	1939	1	0.8508	-305.038
4380	11083	1	0.8463	-71.520
2742	11316	1	0.9704	0.010
288	1626	1	0.8919	-65.024
1021	2551	1	0.8495	289.072
1986	11083	1	0.8455	-144.539
1826	4690	1	0.8938	16.521
3541	5683	1	0.8592	-130.542
5785	10619	1	0.9114	0.005
1600	1825	1	0.8413	1.006
678	5000	1	0.9386	1.011
5891	10917	1	0.9006	136.036
1213	4199	1	0.843	-288.062
438	10984	1	0.9449	0.000
3426	6855	1	0.8647	-228.072
1047	1338	1	0.9502	-65.523
255	2673	1	0.8645	-290.074
1604	3147	1	0.9124	-160.039
4377	4740	1	0.8534	68.023
2996	6970	1	0.8789	80.525
4180	7357	1	0.867	71.012
5779	7667	1	0.8566	-76.008
3760	11083	1	0.8856	146.033
3853	6855	1	0.8534	-1.011
2679	6534	1	0.8572	-73.977
899	5891	1	0.8951	-136.036
4180	5823	1	0.8838	0.000
3462	11490	1	0.8551	-75.994
1076	2551	1	0.883	1.011
2412	8152	1	0.8489	161.050
288	1884	1	0.843	-225.557
1826	5000	1	0.947	17.024
1056	2412	1	0.9074	-225.562
1338	3541	1	0.841	355.596
5000	7605	1	0.9267	-2.012
1397	4031	1	0.9621	0.000
3853	5584	1	0.8772	-225.562
1604	8152	1	0.9204	1.011
1098	1604	1	0.9711	-0.498
1047	1643	1	0.8643	99.048
3627	4293	1	0.8544	74.015
1098	1643	1	0.8857	164.072
1056	3147	1	0.9286	-225.562
2744	2966	1	0.8862	225.054
4180	11083	1	0.8863	-1.011
1213	5823	1	0.8957	0.000
1643	8469	1	0.8972	191.026
1283	5595	1	0.8554	-225.557
2673	2996	1	0.9001	146.541
1056	3426	1	0.9101	162.037
1213	2096	1	0.8508	-2.012
1604	2643	1	0.9393	-10.993
5683	8469	1	0.882	130.542
1248	10984	1	0.9448	130.039
1495	6492	1	0.8444	-68.023
5662	5779	1	0.8408	152.011
2744	4795	1	0.9225	81.013
2103	11028	1	0.9475	-3.018
3977	10917	1	0.8435	145.042
909	3977	1	0.9709	0.000
1884	3753	1	0.8535	-128.032
4266	4546	1	0.8881	68.023
1338	3753	1	0.872	-63.013
3147	4218	1	0.8728	81.028
1338	6855	1	0.9079	-0.513
3147	5584	1	0.9148	-65.024
3646	3853	1	0.857	-146.047
438	1643	1	0.922	-126.006
1604	3426	1	0.8822	227.559
2966	3833	1	0.9076	-144.040
1338	4933	1	0.86	146.546
1075	3753	1	0.9207	-144.036
5019	6460	1	0.8696	67.525
10619	11722	1	0.9468	-0.503
3853	7512	1	0.8512	131.050
6236	7843	1	0.8721	63.520
1075	10984	1	0.8409	209.553
1098	10222	1	0.8751	-65.518
1047	10984	1	0.8681	225.054
1826	11028	1	0.9643	15.012
1248	10778	1	0.94	65.020
4163	5662	1	0.879	68.028
2762	6534	1	0.8665	75.505
10778	10984	1	0.946	65.020
3541	8469	1	0.8727	0.000
5584	11300	1	0.8644	225.063
373	3266	1	0.8693	-299.074
1884	11300	1	0.9248	-65.020
4313	5516	1	0.8406	-225.049
1900	4801	1	0.87	0.000
1056	1338	1	0.9508	-65.523
3790	4324	1	0.8572	-457.049
1604	1884	1	0.9628	65.020
5388	5891	1	0.8814	-207.039
3352	3790	1	0.871	228.038
4608	11722	1	0.8939	-0.498
4293	6643	1	0.8998	229.542
150	5000	1	0.9052	1.011
1283	2996	1	0.8598	306.585
2085	10917	1	0.8984	-68.023
2551	7357	1	0.8712	71.012
4031	4158	1	0.8493	-15.994
2996	11300	1	0.8732	-81.521
11490	11722	1	0.871	363.557
704	2679	1	0.8603	151.494
2762	6460	1	0.8877	75.505
1551	1900	1	0.8683	15.994
255	2966	1	0.8839	146.546
2643	3853	1	0.9119	11.491
1950	10737	1	0.9172	-0.010
1626	2966	1	0.8412	146.047
1098	3853	1	0.9273	0.000
1673	6865	1	0.8648	-433.103
3426	10222	1	0.8442	-292.579
4690	11028	1	0.8958	-1.509
6571	11083	1	0.923	1.001
6460	11722	1	0.8444	288.062
1495	5662	1	0.8797	-76.003
4180	10917	1	0.8843	144.031
1338	10984	1	0.8831	290.576
4313	4801	1	0.8823	7.999
776	1906	1	0.9872	-30.009
3462	5019	1	0.8891	-68.023
2085	3201	1	0.916	-144.031
5516	6643	1	0.8882	216.552
3147	8152	1	0.8574	161.050
1098	8152	1	0.9187	0.512
1283	2673	1	0.903	160.044
2412	2673	1	0.843	95.019
4163	4546	1	0.8504	144.031
2679	5779	1	0.8939	146.560
261	5823	1	0.9026	1.011
5662	6534	1	0.8855	-68.526
1495	4266	1	0.8779	-68.023
3462	5662	1	0.8788	68.028
1626	5683	1	0.9238	-0.498
5584	8152	1	0.8903	226.074
899	1986	1	0.9865	-0.503
2742	2744	1	0.86	-160.030
4944	10984	1	0.8579	64.014
1884	2996	1	0.8923	16.502
8152	11300	1	0.9376	-1.011
2551	10917	1	0.8861	144.031
776	3266	1	0.8508	-306.048
5779	6460	1	0.8729	-220.537
4740	5785	1	0.9273	0.000
1643	2744	1	0.8584	-18.025
3352	7092	1	0.8565	76.008
3426	10984	1	0.9141	63.017
2679	11490	1	0.9554	-149.472
2472	4313	1	0.9376	228.536
6643	10525	1	0.9059	0.503
1495	10619	1	0.8695	144.036
1537	3776	1	0.8916	0.000
373	1939	1	0.8693	-298.063
2742	4721	1	0.8786	-144.012
1075	8152	1	0.8876	-80.012
2551	4180	1	0.9558	0.000
3426	8469	1	0.8975	128.037
1098	10778	1	0.8406	225.059
3776	4225	1	0.9083	15.989
1354	4380	1	0.9044	-73.522
261	1021	1	0.8552	-288.062
1673	10619	1	0.8671	220.039
5662	11490	1	0.8844	-144.021
2643	4795	1	0.8432	238.552
3977	5823	1	0.9041	1.011
2451	4199	1	0.9295	0.503
4690	7605	1	0.8881	-1.509
1673	3462	1	0.8585	-68.028
8469	10778	1	0.9337	-130.039
255	1338	1	0.871	-225.054
4933	11316	1	0.8445	160.039
1338	2673	1	0.9458	-65.020
4740	7667	1	0.862	-144.031
7667	11722	1	0.8528	143.533
1098	4218	1	0.8892	-79.509
255	8152	1	0.9108	-224.043
7667	11490	1	0.9169	-220.024
4269	6643	1	0.9406	227.530
3122	7877	1	0.8594	0.498
2643	6855	1	0.8564	10.481
3977	11083	1	0.8827	0.000
2829	6643	1	0.8579	151.527
2551	5823	1	0.8963	0.000
