CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
150	1946	1	0.8584	0.038
150	2103	1	0.8689	2.017
150	4690	1	0.8522	0.508
150	5000	1	0.9052	1.011
150	678	1	0.8522	0.000
150	7605	1	0.8582	-1.001
151	10396	75	0.8596	-162.070
151	565	75	0.8788	-162.060
152	1220	55	0.8439	146.057
152	1574	55	0.9275	0.000
152	2039	55	0.9336	-10.021
152	275	55	0.8873	-19.931
152	2836	55	0.9095	13.010
152	287	55	0.9096	14.016
152	5861	55	0.8901	-14.016
152	606	55	0.9425	2.017
152	7730	55	0.9273	2.017
152	962	55	0.8484	-164.978
153	208	136	0.8476	42.008
156	1112	38	0.9113	-1.011
156	266	38	0.7767	-16.003
157	10350	55	0.9462	-14.016
157	1206	55	0.8231	0.000
157	1384	55	0.7865	15.994
157	1909	55	0.8461	-152.011
157	1948	55	0.8278	-62.993
157	2094	55	0.8853	-144.055
157	2213	55	0.8676	-144.055
157	2462	55	0.9121	-30.009
157	2637	55	0.8881	-160.053
157	2732	55	0.9024	-130.054
157	2734	55	0.92	-14.016
157	2894	55	0.8894	-134.034
157	2904	55	0.9065	-190.063
157	3402	55	0.9002	-180.114
157	3690	55	0.8695	-178.097
157	3931	55	0.8934	-190.063
157	4366	55	0.8854	-290.102
157	5086	55	0.8993	-98.071
157	5500	55	0.9002	-180.114
157	5861	55	0.8181	-180.042
157	6614	55	0.907	-145.061
157	7356	55	0.8561	-152.011
157	7716	55	0.872	-326.176
157	8044	55	0.9485	-1.001
157	827	55	0.8282	-160.053
161	1026	2	0.8812	-25.018
161	10733	2	0.8992	-164.067
161	11396	2	0.8828	-129.076
161	1599	2	0.9572	-164.048
161	3743	2	0.8772	-54.999
161	7735	2	0.9715	-2.007
163	10822	368	0.825	-1.001
166	326	57	0.9354	75.994
166	350	57	0.8798	160.053
166	393	57	0.8416	132.042
167	1089	38	0.7864	44.020
167	194	38	0.7824	60.024
167	493	38	0.7862	60.014
168	10524	119	0.9729	0.014
168	2718	119	0.7653	81.023
169	1276	9	0.8032	61.001
169	1400	9	0.8462	17.009
169	1726	9	0.6712	-58.999
169	657	9	0.6558	47.009
169	676	9	0.8888	31.001
169	805	9	0.8633	61.020
169	888	9	0.7011	-29.008
169	943	9	0.7052	106.022
170	1861	53	0.7566	15.999
171	1077	2	0.8588	0.982
171	207	2	0.8763	0.000
171	2090	2	0.9255	0.000
171	349	2	0.8574	-132.041
171	3530	2	0.9848	0.000
176	1719	249	1.0	222.597
176	298	249	1.0	0.000
177	552	133	0.9943	0.000
177	6593	133	0.578	-15.994
181	2957	41	0.8757	37.980
181	4183	41	0.8363	66.083
185	10797	344	0.8875	-152.011
187	1896	38	0.8989	-194.058
187	283	38	0.9146	-103.048
187	631	38	0.8643	-206.071
194	1089	38	0.9256	-16.003
194	279	38	0.8882	-42.013
194	372	38	0.7909	42.018
194	493	38	0.914	-0.010
194	799	38	0.7777	-47.009
197	10409	190	0.8797	0.000
197	11547	190	0.9336	0.000
197	1503	190	0.9494	0.000
197	4539	190	0.902	-133.977
199	1007	11	0.8628	-306.029
199	10515	11	0.9585	-10.021
199	11021	11	0.8907	-40.054
199	1268	11	0.9722	-1.001
199	1837	11	0.8734	154.028
199	2091	11	0.9278	-153.012
199	2146	11	0.8831	157.989
199	2536	11	0.958	-152.011
199	260	11	0.953	-152.011
199	267	11	0.9245	152.011
199	3174	11	0.89	154.028
199	3451	11	0.8869	168.043
199	3691	11	0.9067	-192.060
199	422	11	0.9724	0.000
199	4242	11	0.9267	-140.007
199	4992	11	0.9163	12.004
199	512	11	0.8779	22.044
199	5324	11	0.8749	53.998
199	563	11	0.8665	152.011
199	5843	11	0.9861	0.000
199	611	11	0.9353	498.104
199	662	11	0.8617	-305.018
199	6621	11	0.9157	151.010
199	9435	11	0.9182	-496.082
202	1400	9	0.6756	-59.013
202	676	9	0.6414	-45.021
202	943	9	0.6616	30.000
207	3530	2	0.8812	0.000
208	1831	136	0.8258	17.000
208	2552	136	0.8263	43.000
208	400	136	0.8288	43.000
209	10637	3	0.9298	-0.005
209	1446	3	0.6952	120.019
209	2079	3	0.6399	32.021
209	3194	3	0.9653	30.005
209	5192	3	0.8938	17.005
209	7307	3	0.9109	16.003
209	7388	3	0.8802	-255.039
209	7740	3	0.9212	16.003
210	247	38	0.7832	-0.019
210	3449	38	0.8999	41.999
210	4098	38	0.817	-146.062
212	1069	38	0.855	-60.014
212	372	38	0.9028	46.018
212	3987	38	0.8021	-30.014
212	537	38	0.9155	-14.020
212	733	38	0.9196	0.000
213	2724	91	0.7238	-102.066
213	949	91	0.9192	0.000
214	5209	17	0.8056	1.011
214	7213	17	0.7858	130.039
215	1158	9	0.6545	60.019
215	2082	9	0.9453	159.076
215	269	9	0.9204	191.069
215	4067	9	0.6955	29.037
215	6133	9	0.9204	191.078
215	663	9	0.7973	351.117
215	676	9	0.6703	41.017
215	888	9	0.8512	-18.992
215	903	9	0.871	337.116
216	3451	11	0.8888	156.039
216	4242	11	0.9072	-152.011
216	4992	11	0.8715	0.000
220	6803	11	0.8733	-181.082
222	2043	38	0.8756	-47.019
222	234	38	0.831	88.031
222	372	38	0.7714	160.058
224	1536	15	0.7472	-20.999
224	2246	15	0.8348	24.501
227	10403	2	0.8953	-30.014
227	11279	2	0.9161	-162.060
227	1721	2	0.9303	-162.051
229	10531	12	0.8674	-10.979
229	10770	12	0.9038	-0.498
229	11287	12	0.8259	1.011
229	1853	12	0.8284	-149.994
229	245	12	0.92	65.024
229	264	12	0.9175	-7.995
229	2954	12	0.8655	146.047
229	3400	12	0.9261	-6.989
229	3828	12	0.8758	-10.984
229	5090	12	0.8781	-8.957
229	761	12	0.8596	70.044
229	806	12	0.8353	70.044
231	10894	4	0.8152	15.994
231	11054	4	0.8896	0.000
231	12024	4	0.8377	-146.062
231	1750	4	0.8444	32.012
231	1813	4	0.8746	16.018
231	3322	4	0.856	44.030
231	3327	4	0.8383	24.060
231	3388	4	0.8578	14.001
231	4473	4	0.8614	30.009
231	4986	4	0.8265	16.018
231	6013	4	0.8448	-116.048
231	7588	4	0.8232	0.024
231	8523	4	0.867	-162.046
232	561	2	0.9313	336.101
234	290	38	0.8604	-131.050
234	4098	38	0.9314	-46.013
234	688	38	0.8807	146.057
235	1048	38	0.8025	-16.013
235	560	38	0.7796	-47.019
236	4102	57	0.8903	82.038
238	1437	2	0.9443	-161.055
238	3435	2	0.9454	-162.041
238	7983	2	0.8807	-145.056
243	10744	12	0.9237	-1.011
243	1490	12	0.9475	-1.011
243	5316	12	0.8371	-2.012
244	10031	2	0.8883	-164.029
244	7817	2	0.891	-1.978
245	10531	12	0.8306	-76.003
245	10770	12	0.8627	-65.523
245	11287	12	0.8238	-64.014
245	1853	12	0.8206	-215.019
245	264	12	0.8728	-73.019
245	2954	12	0.8471	81.023
245	3400	12	0.8659	-72.013
245	3828	12	0.855	-76.008
245	5090	12	0.8532	-73.982
245	761	12	0.8373	5.020
245	806	12	0.8235	5.020
246	10335	11	0.8679	129.967
246	3451	11	0.9094	-6.011
246	5610	11	0.8688	152.011
246	7861	11	0.889	15.960
246	9740	11	0.9645	-1.006
247	1083	38	0.8834	-1.011
247	1254	38	0.7982	-118.040
247	2512	38	0.8095	-148.050
247	3575	38	0.8163	42.008
247	448	38	0.8475	42.008
247	471	38	0.9022	-105.031
247	5430	38	0.7917	-119.041
247	777	38	0.7738	-118.040
248	10147	11	0.8957	-153.012
248	1425	11	0.9261	193.061
248	1655	11	0.9924	-1.006
248	4210	11	0.9602	-152.016
248	5994	11	0.946	0.000
248	7481	11	0.9225	-441.093
248	9229	11	0.9559	-137.085
250	407	112	0.7133	144.045
250	4713	112	0.6909	-51.991
250	886	112	0.6543	-178.026
251	11028	1	0.9134	-1.001
251	1826	1	0.8995	-16.013
251	1946	1	0.8853	0.038
251	2103	1	0.8911	2.017
251	4690	1	0.8558	0.508
251	5000	1	0.9197	1.011
251	678	1	0.8859	0.000
251	7605	1	0.8944	-1.001
252	374	36	0.5989	-42.008
254	1031	57	0.8783	75.994
254	10354	57	0.8532	-0.019
254	11148	57	0.8792	-0.010
254	2588	57	0.9183	-30.009
254	300	57	0.8411	-6.050
255	1075	1	0.8693	-144.031
255	10778	1	0.9746	0.503
255	1098	1	0.8505	-224.556
255	10984	1	0.9355	65.523
255	11300	1	0.8948	-225.054
255	11316	1	0.8727	81.531
255	1248	1	0.9492	-64.517
255	1338	1	0.871	-225.054
255	1604	1	0.8529	-225.054
255	1626	1	0.9111	0.498
255	1643	1	0.9009	-60.483
255	2643	1	0.8623	-236.047
255	2673	1	0.8645	-290.074
255	2742	1	0.8985	81.521
255	2744	1	0.8493	-78.508
255	288	1	0.8831	65.523
255	2966	1	0.8839	146.546
