CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1056	2673	1	0.9179	-130.542
4206	7178	1	0.8409	76.027
1047	2744	1	0.8848	81.023
3977	6364	1	0.8476	-289.063
1825	10795	1	0.9495	-0.005
2673	4218	1	0.8483	-13.992
1283	2643	1	0.9052	214.070
1056	1283	1	0.9447	-290.586
2966	4933	1	0.9043	-225.054
3760	4387	1	0.8502	73.522
1338	3147	1	0.8903	-160.039
5138	7667	1	0.8601	228.033
3646	3833	1	0.8662	81.013
909	3977	1	0.9709	0.000
1906	11083	1	0.8415	-112.014
3746	3752	1	0.8494	-68.023
5779	6648	1	0.8474	0.000
2959	4313	1	0.8929	212.538
288	11300	1	0.893	-290.576
1986	7843	1	0.8856	-72.516
438	3541	1	0.8585	65.020
1906	3266	1	0.8466	-276.039
2085	4387	1	0.8518	-285.576
1213	4387	1	0.8924	-73.522
1495	4546	1	0.9004	0.000
261	10917	1	0.8975	145.042
4269	4293	1	0.9301	-2.012
1047	2643	1	0.9378	-76.516
11490	11722	1	0.871	363.557
4266	6492	1	0.8584	0.000
3462	5019	1	0.8891	-68.023
1075	4795	1	0.9019	146.536
7877	11490	1	0.8696	220.044
2829	3790	1	0.9097	76.008
251	1826	1	0.8995	-16.013
899	2002	1	0.8483	-288.565
5683	10778	1	0.9426	0.503
1507	1537	1	0.8692	0.000
3712	11490	1	0.854	-220.024
255	288	1	0.8831	65.523
255	2643	1	0.8623	-236.047
1098	1927	1	0.8462	162.065
1338	1626	1	0.8783	225.552
5779	7667	1	0.8566	-76.008
2673	3147	1	0.8488	-95.019
3426	8152	1	0.8774	-226.548
3147	7512	1	0.8572	291.587
1604	10984	1	0.8783	290.576
899	1986	1	0.9865	-0.503
1537	1825	1	0.8875	0.000
4380	6236	1	0.8771	-63.017
1338	8152	1	0.9393	1.011
2472	2959	1	0.8636	15.999
704	2762	1	0.8426	2.012
1604	3646	1	0.8409	146.546
1626	1643	1	0.9246	-60.982
1986	2085	1	0.8835	68.526
4180	6571	1	0.8862	-2.012
5779	11722	1	0.8451	67.525
776	2639	1	0.8807	216.063
1906	3993	1	0.8491	22.034
4380	11083	1	0.8463	-71.520
1826	5000	1	0.947	17.024
5683	8152	1	0.8606	-224.043
2996	10984	1	0.8642	209.055
438	1626	1	0.9063	-65.024
3712	4266	1	0.8949	-68.023
2744	3646	1	0.9139	0.000
1986	5891	1	0.8966	-135.533
776	2867	1	0.8408	-15.994
3746	5516	1	0.8981	-220.048
147	3993	1	0.8682	-2.002
899	7843	1	0.8886	-73.019
2085	4380	1	0.877	-141.545
4546	5779	1	0.8472	76.008
704	5662	1	0.8601	146.043
5785	5795	1	0.8681	75.002
2096	11083	1	0.8633	1.001
2412	2673	1	0.843	95.019
251	678	1	0.8859	0.000
1906	2639	1	0.8699	246.073
2673	10778	1	0.8531	290.576
1495	3462	1	0.8731	-144.031
678	1946	1	0.9093	0.038
1098	1338	1	0.9526	-0.498
1507	4225	1	0.9073	15.989
1604	4933	1	0.8404	146.546
3426	10984	1	0.9141	63.017
288	1338	1	0.8498	-290.576
3753	4933	1	0.8561	209.558
1927	4795	1	0.9463	64.996
1056	3646	1	0.8756	81.023
6460	11490	1	0.9354	-75.495
5779	6460	1	0.8729	-220.537
3790	8382	1	0.8617	228.033
2412	11300	1	0.8833	160.039
1900	4801	1	0.87	0.000
1626	2966	1	0.8412	146.047
288	1248	1	0.9389	-130.039
